1,AZUAY,801609,8173,98
2,BOLÍVAR,199078,3957,50
3,CAÑAR,227578,3647,62
4,CARCHI,172828,3783,46
5,COTOPAXI,470210,6188,76
6,CHIMBORAZO,471933,6116,77
7,EL ORO,714592,587,122
8,ESMERALDAS,553900,15836,35
9,GUAYAS,4391923,159,276
10,IMBABURA,469879,4791,98
11,LOJA,485421,11064,44
12,LOS RÍOS,898652,7238,124
13,MANABÍ,1592840,19517,82
14,MORONA SANTIAGO,192508,24004,8
15,NAPO,131675,12542,10
16,PASTAZA,111915,29647,4
17,PICHINCHA,3089473,9453,327
18,TUNGURAHUA,563532,3386,166
19,ZAMORA CHINCHIPE,110973,10565,11
20,GALÁPAGOS,28583,8233,3
21,SUCUMBÍOS,199014,18098,11
22,ORELLANA,182166,21729,8
23,SANTO DOMINGO DE LOS TSÁCHILAS,492969,378,130
24,SANTA ELENA,385735,3688,105
